SubareaCode
1921
1257
1589
261
925
355
1566
238
1804
215
1472
2136
1211
1042
378
1543
192
524
1065
401
733
1729
2159
1758
501
1094
756
1443
1117
2107
1781
1658
779
802
971
1466
1635
1712
138
1048
825
1489
1612
407
948
1735
161
284
1595
1251
919
1844
1263
1512
1998
1002
361
1689
564
1904
232
2199
965
315
1606
762
1503
1752
1011
424
418
1105
816
2144
1449
1652
1303
1549
221
2044
1798
716
1698
1403
1944
1157
842
2004
1506
1838
1363
1861
201
1695
699
722
1457
464
1555
1128
1718
132
1532
438
2196
1483
2147
2073
487
1171
679
507
2173
181
1148
656
158
109
822
773
1463
1881
2053
1981
2104
836
587
1832
848
338
1583
1761
1085
742
195
244
693
636
1383
1961
301
1618
1028
979
991
1569
2024
942
1918
1675
1426
1177
1669
1924
1824
1283
146
152
1326
785
1775
885
1134
1377
1626
1967
295
1034
985
1526
1091
427
1755
759
521
404
736
1400
2064
1068
1732
1469
1801
805
473
2133
1137
118
782
1446
1778
335
1586
1592
922
928
264
2156
1615
1492
281
945
951
212
1045
1638
1709
235
899
358
1563
1784
1686
1749
1097
753
421
2093
1346
1014
1500
1406
859
1701
1738
527
2033
2187
218
375
719
1546
1051
1300
968
1655
905
1987
659
327
1901
1692
1841
513
916
667
1005
1941
275
318
1603
467
1208
2041
1795
713
1552
962
321
567
813
1354
676
1174
1672
1008
1031
1529
2027
129
461
1792
1125
1409
1151
1864
819
155
1200
584
2001
1343
1835
1509
1437
1984
1486
627
1958
135
1907
1145
1243
776
1317
702
112
604
1915
504
1678
1927
931
1666
398
1523
1025
2021
896
1715
882
1964
292
1323
647
241
696
341
833
839
1088
2013
441
939
2113
988
1721
639
1821
739
1231
1772
1779
854
1186
522
2111
1518
1756
2088
1209
1541
1424
213
808
144
831
1827
1163
1495
499
1687
1023
1681
359
353
946
1017
1664
1633
453
336
1000
994
236
307
1733
900
1069
405
923
1587
1046
1109
1441
516
528
267
1215
422
1547
754
871
1203
1641
1309
1063
1902
313
562
1395
1558
622
376
1249
917
2036
708
1942
1693
276
963
1455
668
1006
127
121
1996
2142
1401
319
814
1647
1057
468
1501
1255
714
1796
2042
1009
1269
1767
1412
914
748
1744
1152
2145
156
891
462
413
1175
1077
1126
1438
2102
1361
697
1936
1195
2002
1787
1836
1959
1953
797
1146
1979
1487
728
505
628
2128
1169
2079
101
1524
2022
599
1026
777
1773
1916
1381
883
256
399
648
977
1973
1716
585
1581
1667
1432
1183
442
934
834
299
393
642
1475
1232
1724
983
1673
1132
1083
1945
1684
356
1352
2016
1707
1258
1375
379
711
2039
926
1043
1066
734
402
141
1567
1235
2062
239
216
1089
1753
757
1544
1444
1189
525
1515
851
502
828
1467
2131
164
1143
233
974
479
897
1736
333
1538
1661
456
765
362
279
1252
1049
373
717
705
2045
1985
1653
316
1003
966
1999
519
857
2185
1112
1498
1793
957
1799
1504
176
465
811
565
2139
224
1747
665
1452
2091
911
1993
124
1862
1933
2099
1601
1435
439
937
416
2076
153
559
1149
817
1484
2148
488
204
794
745
1507
1458
1839
1266
1764
774
2025
1100
459
631
1172
508
2125
625
133
1123
1982
2056
725
2005
1464
1341
1415
1956
800
2105
943
445
1037
551
1535
1713
1086
1727
1321
645
731
1913
1962
1372
253
2019
1527
1029
1521
1776
1621
2162
1129
1627
396
737
147
986
837
788
247
1919
296
1115
1708
451
119
783
1044
428
2063
1731
497
1161
